2024-11-08 20:44:38 - main - INFO - App started
2024-11-08 20:44:42 - main - INFO - App started
2024-11-08 20:48:25 - main - INFO - Client disconnected
2024-11-08 20:48:25 - main - INFO - Client disconnected
2024-11-08 20:48:25 - main - INFO - Client disconnected
2024-11-08 20:48:25 - main - INFO - Client disconnected
2024-11-08 20:48:25 - main - INFO - Client disconnected
2024-11-08 20:48:25 - main - INFO - Client disconnected
2024-11-08 20:48:25 - main - INFO - Client disconnected
2024-11-08 20:48:25 - main - INFO - Client disconnected
2024-11-08 20:48:25 - main - INFO - Client disconnected
2024-11-08 20:49:00 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:01 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:02 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:03 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:04 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:05 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:05 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:05 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:08 - main - INFO - App started
2024-11-08 20:49:09 - watchfiles.main - INFO - 7 changes detected
2024-11-08 20:49:09 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:10 - watchfiles.main - INFO - 6 changes detected
2024-11-08 20:49:10 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:11 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:11 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:12 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:12 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:12 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:13 - main - INFO - App started
2024-11-08 20:49:13 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:13 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:14 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:14 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:15 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:15 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:16 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:16 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:17 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:17 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:18 - watchfiles.main - INFO - 5 changes detected
2024-11-08 20:49:19 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:20 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:20 - main - INFO - App started
2024-11-08 20:49:20 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:20 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:21 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:21 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:22 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:22 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:23 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:23 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:24 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:24 - watchfiles.main - INFO - 2 changes detected
2024-11-08 20:49:25 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:26 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:26 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:26 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:27 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:27 - watchfiles.main - INFO - 2 changes detected
2024-11-08 20:49:28 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:28 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:28 - watchfiles.main - INFO - 5 changes detected
2024-11-08 20:49:29 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:29 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:30 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:30 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:30 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:31 - main - INFO - App started
2024-11-08 20:49:31 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:32 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:32 - watchfiles.main - INFO - 6 changes detected
2024-11-08 20:49:32 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:33 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:33 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:33 - watchfiles.main - INFO - 2 changes detected
2024-11-08 20:49:34 - main - INFO - App started
2024-11-08 20:49:35 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:35 - watchfiles.main - INFO - 5 changes detected
2024-11-08 20:49:36 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:36 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:37 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:37 - main - INFO - App started
2024-11-08 20:49:37 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:38 - watchfiles.main - INFO - 2 changes detected
2024-11-08 20:49:38 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:39 - watchfiles.main - INFO - 5 changes detected
2024-11-08 20:49:40 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:40 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:41 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:41 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:42 - main - INFO - App started
2024-11-08 20:49:43 - watchfiles.main - INFO - 2 changes detected
2024-11-08 20:49:44 - watchfiles.main - INFO - 6 changes detected
2024-11-08 20:49:44 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:44 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:45 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:45 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:46 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:46 - main - INFO - App started
2024-11-08 20:49:46 - watchfiles.main - INFO - 2 changes detected
2024-11-08 20:49:47 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:48 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:48 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:49 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:49 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:49 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:50 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:50 - watchfiles.main - INFO - 2 changes detected
2024-11-08 20:49:53 - main - INFO - App started
2024-11-08 20:49:53 - watchfiles.main - INFO - 6 changes detected
2024-11-08 20:49:54 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:54 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:55 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:55 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:56 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:56 - main - INFO - App started
2024-11-08 20:49:56 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:57 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:57 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:58 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:58 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:49:59 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:50:00 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:50:00 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:50:01 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:50:01 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:50:02 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:50:02 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:50:03 - watchfiles.main - INFO - 1 change detected
2024-11-08 20:50:03 - watchfiles.main - INFO - 1 change detected
